LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:08:52:97,-27, ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,lorenzo,78:29:ED:08:52:97,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,DA:E8:35:FB:B6:DA,-59,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 17:47:30,1900-01-00 00:00:00,,78:29:ED:13:B6:02,-2, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 17:47:30,1900-01-00 00:00:00,movistar2,4GHZ_13B602,78:29:ED:13:B6:02,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
