Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
15;infrastructure;Trinidad;78:29:ED:89:07:5F;;6;No;WPA2,AES-CCM;No;130.0;0;43;0;0;0;0;0;;;Sun Aug 27 18:01:15 2023;Sun Aug 27 18:03:14 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;Mywentz 2.4;80:69:33:EC:C2:54;;6;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;75;0;7;0;0;7;;;Sun Aug 27 18:01:15 2023;Sun Aug 27 18:03:17 2023;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Motojuan;CE:FA:4D:25:31:47;;6;No;WPA2,AES-CCM;No;180.0;0;46;0;0;0;0;0;;;Sun Aug 27 18:01:19 2023;Sun Aug 27 18:03:17 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;Carmen;2E:EA:DC:A3:78:D7;;6;No;WPA2,AES-CCM;No;130.0;0;11;0;0;0;0;0;;;Sun Aug 27 18:01:22 2023;Sun Aug 27 18:02:59 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Francisca;68:59:11:1A:9F:E8;;12;No;WPA2,AES-CCM;No;270.0;0;16;0;1;0;0;1;;;Sun Aug 27 18:01:23 2023;Sun Aug 27 18:03:07 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;RosaCorazon;B6:C6:4F:51:92:88;;6;No;WPA2,AES-CCM;No;180.0;0;18;0;0;0;0;0;;;Sun Aug 27 18:01:26 2023;Sun Aug 27 18:03:10 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;Martin;64:64:4A:44:9E:61;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;4;0;2;0;0;2;;;Sun Aug 27 18:01:27 2023;Sun Aug 27 18:03:10 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;FamiliaRomeroj;CC:ED:DC:33:68:45;;11;No;WPA2,AES-CCM;No;130.0;0;3;0;11;0;0;11;;;Sun Aug 27 18:01:33 2023;Sun Aug 27 18:03:10 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;78:29:ED:08:52:97;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sun Aug 27 18:01:33 2023;Sun Aug 27 18:02:45 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;zonaazul1;78:29:ED:15:98:D2;;11;No;WPA2,AES-CCM;No;130.0;0;4;0;1;0;0;1;;;Sun Aug 27 18:01:36 2023;Sun Aug 27 18:03:10 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;La mejor;E4:AB:89:05:93:5C;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Sun Aug 27 18:01:48 2023;Sun Aug 27 18:02:24 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Eduardo;7C:DB:98:E0:A5:DF;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sun Aug 27 18:02:27 2023;Sun Aug 27 18:02:35 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
